Trust,HR_bl_diff,Rsp_Amp_bl_diff
0.6,10.25969439,-0.080161207
0.59,6.66612953,3.999863584
0.52,7.99938291,3.999845726
0.76,10.66435141,3.999438726
0.29,5.33417518,5.333564162
0.56,9.33281956,5.33319896
0.54,10.66845477,-1.333008223
0.53,9.76910423,2.295384989
0.8,3.61016538,-1.430791989
0.57,5.33031898,-4.000649246
0.35,5.33683565,0.00091599
0.57,3.99928616,-1.333511795
0.3,7.99841591,-1.333711623
0.43,5.33185852,-1.333696365
0.28,5.33621296,-1.332624502
0.6,3.41215684,-1.787343003
0.74,0.8582584,-4.111345687
0.71,-1.33269472,-2.666501862
0.46,1.33284147,-2.666789632
0.67,2.66650553,-2.666706331
0.44,5.33593473,-2.666045438
0.3,4.0007353,-1.333143937
0.53,2.66807961,-2.666318865
0.5,3.69339736,-4.238107636
0.39,0.9281865,-2.756699295
0.46,1.3329929,-1.333414388
0.41,2.66734758,-2.666517716
0.42,3.99965198,-8.57E-05
0.41,5.3334779,-2.666636001
0.56,5.33703361,-1.332492361
0.44,3.332E-05,-1.333325272
0.36,2.77987151,-0.281287694
0.38,-1.63927395,-1.401320137
0.11,1.33166016,-0.000386117
0.32,-2.66580117,1.333556687
0.41,4.00123254,0.000275941
0.39,3.99936818,-0.000141453
0.6,4.00014818,3.32E-05
0.34,-1.33230611,0.000244575
0.41,2.47787588,-1.448336083
0.45,2.33845094,-0.07574209
0.45,7.99962764,-8.09E-05
0.38,4.00040333,-1.333247777
0.48,6.6667474,1.78E-05
0.37,2.66657624,-1.333352809
0.46,2.66459954,1.332824501
0.27,5.33382892,-2.666570508
0.31,4.94673679,0.433709804
